Method,Name,Error,Occurrences
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A54_e281988207fde59fa31d7c3916b54c57&format=image%2Fpng&height=550&width=550&srs=EPSG%3A4326&bbox=2683612.3458000%2C1681231.3262000%2C5852419.4005000%2C5050981.0653000,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A54_e281988207fde59fa31d7c3916b54c57&format=image%2Fpng&height=550&width=550&srs=EPSG%3A4326&bbox=2683612.3458000%2C1681231.3262000%2C5852419.4005000%2C5050981.0653000'),1
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A23_4bb3545082e3fa643d79fc8c93d60796&format=image%2Fjpeg&height=550&width=550&srs=EPSG%3A4326&bbox=1119138.6759716%2C1818308.3930228%2C1202314.6771626%2C1950791.9886038,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A23_4bb3545082e3fa643d79fc8c93d60796&format=image%2Fjpeg&height=550&width=550&srs=EPSG%3A4326&bbox=1119138.6759716%2C1818308.3930228%2C1202314.6771626%2C1950791.9886038'),1
GET,/datasets/geodata:geonode:43_b829dcea620937bf7636ae72146ee837/metadata_advanced,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/v2/datasets/?page_size=100,HTTPError('500 Server Error: Internal Server Error for url: /api/v2/datasets/?page_size=100'),1
GET,/geoserver/rest/workspaces/geonode/datastores/geodata.json,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/rest/workspaces/geonode/datastores/geodata.json'),6
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A33_8640112c14a343d4c8f7809e8a4bfef2&format=image%2Fpng&height=550&width=550&srs=EPSG%3A2263&bbox=913175.1090088%2C120121.8812543%2C1067382.5084229%2C272844.2936401,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A33_8640112c14a343d4c8f7809e8a4bfef2&format=image%2Fpng&height=550&width=550&srs=EPSG%3A2263&bbox=913175.1090088%2C120121.8812543%2C1067382.5084229%2C272844.2936401'),1
GET,/geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/8_651cc0bd3213ff907c763a1ef98012ca.json,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/8_651cc0bd3213ff907c763a1ef98012ca.json'),1
GET,/geoserver/rest/about/version.xml,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/rest/about/version.xml'),13
GET,/geoserver/rest/layers.json,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/rest/layers.json'),7
GET,/geoserver/rest/about/version.xml,RemoteDisconnected('Remote end closed connection without response'),1
GET,/api/v2/executionrequest/e9301cc2-0821-43ca-b1fd-9e778e15de30,RemoteDisconnected('Remote end closed connection without response'),1
GET,/geoserver/rest/workspaces/geonode/datastores/geodata.json,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/rest/workspaces/geonode/datastores/geodata.json'),15
GET,/geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/42_2fd1e8918d210a35a16c4812d3d56c9a.json,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/42_2fd1e8918d210a35a16c4812d3d56c9a.json'),1
GET,/geoserver/rest/layers.json,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/rest/layers.json'),10
GET,/geoserver/ows?service=WMS&request=GetLegendGraphic&format=image/png&WIDTH=20&HEIGHT=20&LAYER=geonode:23_6213c23af0edcfc1d91c09a4248c0bea&STYLE=23_6213c23af0edcfc1d91c09a4248c0bea&version=1.3.0&sld_version=1.1.0&legend_options=fontAntiAliasing:true;fontSize:12;forceLabels:on,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetLegendGraphic&format=image/png&WIDTH=20&HEIGHT=20&LAYER=geonode:23_6213c23af0edcfc1d91c09a4248c0bea&STYLE=23_6213c23af0edcfc1d91c09a4248c0bea&version=1.3.0&sld_version=1.1.0&legend_options=fontAntiAliasing:true;fontSize:12;forceLabels:on'),1
GET,/geoserver/rest/about/version.xml,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/rest/about/version.xml'),25
GET,/api/v2/executionrequest/4b94e819-b0b4-48d8-9c00-7637f386a4e6,RemoteDisconnected('Remote end closed connection without response'),1
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A24_beca05d01b2f62ecf83e0a4027aabafe&format=image%2Fpng&height=550&width=550&srs=EPSG%3A4326&bbox=-79.0472260%2C-4.2304840%2C-66.8698349%2C12.4633083,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A24_beca05d01b2f62ecf83e0a4027aabafe&format=image%2Fpng&height=550&width=550&srs=EPSG%3A4326&bbox=-79.0472260%2C-4.2304840%2C-66.8698349%2C12.4633083'),1
GET,/geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes.json,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes.json'),9
GET,/geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes.json,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes.json'),20
