Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,924,0,90,163.0079424292458,28.240373998414725,1470.0836010160856,54364.0,0.7642845767342363,0.0,90,140,180,200,310,580,1200,1300,1500,1500,1500
GET,/api/v2/datasets/?page_size=100,131,1,12000.0,12519.779797405705,1346.1300779599696,25043.069047969766,1524136.7022900763,0.10835636315171532,0.0008271478103184375,12000,18000,20000,21000,22000,23000,24000,25000,25000,25000,25000
GET,/api/v2/executionrequest/00a7f2b4-b038-4bb1-9d6a-ae696cb0485f,12,0,22,26.395944582570035,18.882545991800725,63.51462798193097,800.5,0.00992577372382125,0.0,22,22,23,23,40,64,64,64,64,64,64
GET,/api/v2/executionrequest/01dfbdd0-dbae-47bd-8c47-30a0ec04675b,87,0,94,104.07613665762025,19.16033198358491,384.3898790073581,797.1379310344828,0.07196185949770408,0.0,94,100,140,180,200,250,330,380,380,380,380
GET,/api/v2/executionrequest/033c2de1-60ae-4d54-b636-a125cf7569f6,9,0,22,26.812687231641675,19.14595504058525,53.680792974773794,800.1111111111111,0.007444330292865938,0.0,22,23,24,38,54,54,54,54,54,54,54
GET,/api/v2/executionrequest/05fc72ef-c178-48d6-8e8a-c757545a3a54,25,0,80,73.17561428528279,20.60361998155713,225.24052800145,795.4,0.020678695257960938,0.0,80,90,95,95,100,140,230,230,230,230,230
GET,/api/v2/executionrequest/06864cbc-5cc2-4db6-a5b4-55fde30d6f9d,14,0,37,50.88847022021322,20.86049399804324,96.62009100429714,800.0,0.011580069344458125,0.0,41,82,84,85,88,97,97,97,97,97,97
GET,/api/v2/executionrequest/068ded09-b078-4b21-b5af-553c29f85a52,7,0,22,21.69204585620069,17.878871003631502,24.102822004351765,803.0,0.005790034672229063,0.0,22,22,23,23,24,24,24,24,24,24,24
GET,/api/v2/executionrequest/06cfecb1-3a75-465d-927e-90b33a5def1a,123,0,200.0,383.879343697487,37.274956004694104,1487.0092819910496,787.4634146341464,0.10173918066916782,0.0,200,300,400,550,1100,1200,1300,1300,1500,1500,1500
GET,/api/v2/executionrequest/07dcda7d-e4e1-42a6-86d6-5e5fe2cf3b61,79,0,180.0,176.32025272049057,20.232515991665423,337.55216700956225,789.6835443037975,0.06534467701515657,0.0,180,200,210,270,300,300,330,340,340,340,340
