Method,Name,Error,Occurrences
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A27_9b7ffa759085d624f50a61a732011e75&format=image%2Fjpeg&height=550&width=550&srs=EPSG%3A4326&bbox=-124.7314224%2C24.9559669%2C-66.9698486%2C49.3717346,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A27_9b7ffa759085d624f50a61a732011e75&format=image%2Fjpeg&height=550&width=550&srs=EPSG%3A4326&bbox=-124.7314224%2C24.9559669%2C-66.9698486%2C49.3717346'),1
GET,/geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/0_51e1080b28c5027263e5d87c65eed8a3.json,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/0_51e1080b28c5027263e5d87c65eed8a3.json'),1
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A48_30e66e7462231890f5ebcbad7569f9ac&format=image%2Fjpeg&height=550&width=550&srs=EPSG%3A4326&bbox=-106.6495132%2C24.9559669%2C-75.0459976%2C40.6371384,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A48_30e66e7462231890f5ebcbad7569f9ac&format=image%2Fjpeg&height=550&width=550&srs=EPSG%3A4326&bbox=-106.6495132%2C24.9559669%2C-75.0459976%2C40.6371384'),1
GET,/geoserver/ows?service=WMS&request=GetLegendGraphic&format=image/png&WIDTH=20&HEIGHT=20&LAYER=geonode:11&STYLE=11&version=1.3.0&sld_version=1.1.0&legend_options=fontAntiAliasing:true;fontSize:12;forceLabels:on,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetLegendGraphic&format=image/png&WIDTH=20&HEIGHT=20&LAYER=geonode:11&STYLE=11&version=1.3.0&sld_version=1.1.0&legend_options=fontAntiAliasing:true;fontSize:12;forceLabels:on'),1
GET,/geoserver/ows?service=WMS&request=GetLegendGraphic&format=image/png&WIDTH=20&HEIGHT=20&LAYER=geonode:24_26a1d88ceb243f3ced83fb0fa70bf470&STYLE=24_26a1d88ceb243f3ced83fb0fa70bf470&version=1.3.0&sld_version=1.1.0&legend_options=fontAntiAliasing:true;fontSize:12;forceLabels:on,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetLegendGraphic&format=image/png&WIDTH=20&HEIGHT=20&LAYER=geonode:24_26a1d88ceb243f3ced83fb0fa70bf470&STYLE=24_26a1d88ceb243f3ced83fb0fa70bf470&version=1.3.0&sld_version=1.1.0&legend_options=fontAntiAliasing:true;fontSize:12;forceLabels:on'),1
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A8_7e7b612bb472388fb428e32d680325e1&format=application%2Fpdf&height=550&width=550&srs=EPSG%3A4326&bbox=1392544.2394963%2C410976.5258264%2C1412556.8368530%2C427152.3660238,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A8_7e7b612bb472388fb428e32d680325e1&format=application%2Fpdf&height=550&width=550&srs=EPSG%3A4326&bbox=1392544.2394963%2C410976.5258264%2C1412556.8368530%2C427152.3660238'),1
GET,/geoserver/ows?service=WMS&request=GetLegendGraphic&format=image/png&WIDTH=20&HEIGHT=20&LAYER=geonode:48&STYLE=48&version=1.3.0&sld_version=1.1.0&legend_options=fontAntiAliasing:true;fontSize:12;forceLabels:on,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetLegendGraphic&format=image/png&WIDTH=20&HEIGHT=20&LAYER=geonode:48&STYLE=48&version=1.3.0&sld_version=1.1.0&legend_options=fontAntiAliasing:true;fontSize:12;forceLabels:on'),1
GET,/geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/51_28364fa9b0fd05472b334cda96fd4392.json,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/51_28364fa9b0fd05472b334cda96fd4392.json'),1
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A51_575fe6b4d4169c2419f87c490d451b8f&format=image%2Fjpeg&height=550&width=550&srs=EPSG%3A4326&bbox=-82.8519540%2C27.5762000%2C-82.0521110%2C28.6949880,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A51_575fe6b4d4169c2419f87c490d451b8f&format=image%2Fjpeg&height=550&width=550&srs=EPSG%3A4326&bbox=-82.8519540%2C27.5762000%2C-82.0521110%2C28.6949880'),1
GET,/geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/7_d2c28f0f4ac74787f449fcf81cc1556a.json,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/rest/workspaces/geonode/datastores/geodata/featuretypes/7_d2c28f0f4ac74787f449fcf81cc1556a.json'),1
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A11_a975afb6e96d9a239217019e297ad548&format=image%2Fpng&height=550&width=550&srs=EPSG%3A4326&bbox=1124187.6498450%2C1826195.7689319%2C1188926.1673997%2C1950150.9114218,HTTPError('502 Server Error: Bad Gateway for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A11_a975afb6e96d9a239217019e297ad548&format=image%2Fpng&height=550&width=550&srs=EPSG%3A4326&bbox=1124187.6498450%2C1826195.7689319%2C1188926.1673997%2C1950150.9114218'),1
GET,/api/v2/executionrequest/083fa4b4-0b83-4ac4-979f-b9aeedbbef9c,HTTPError('502 Server Error: Bad Gateway for url: /api/v2/executionrequest/083fa4b4-0b83-4ac4-979f-b9aeedbbef9c'),1
GET,/geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A53_40a2a14f5cbf888f6022a85798215b3c&format=image%2Fpng&height=550&width=550&srs=EPSG%3A2263&bbox=913175.1090088%2C120121.8812543%2C1067382.5084229%2C272844.2936401,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /geoserver/ows?service=WMS&request=GetMap&layers=geonode%3A53_40a2a14f5cbf888f6022a85798215b3c&format=image%2Fpng&height=550&width=550&srs=EPSG%3A2263&bbox=913175.1090088%2C120121.8812543%2C1067382.5084229%2C272844.2936401'),1
